,Titulo,Valoracion,Precio,Tamaño RAM,Tipo RAM,Tarjeta Gráfica,Velocidad Memoria
0,"Asus GT730-SL - Tarjeta gráfica de 2 GB GDDR5 (DVI, HDMI, 902 MHz, PCI Express 2.0)","4,6 ",-,2048,caché L2,PCI-E,0 MHz
1,"MSI N730K-2GD3H/LP NVIDIA GeForce GT 730 2GB - Tarjeta gráfica (Pasivo, NVIDIA, GeForce GT 730, GDDR3, PCI Express 2.0, 4096 x 2160 Pixeles)","4,5 ",-,2 GB,MicroDIMM,PCI-Express x16,1600 MHz
2,nVIDIA NVS 315 - Tarjeta gráfica de 1 GB GDDR3,"4,5 ","134,11€",-,DDR3 SDRAM,PCI-E,0 GHz
3,Gigabyte GV-N730D3-2GI (Rev. 2.0) Tarjeta gráfica - GF GT 730 - 2 GB,"4,5 ","98,19€",2048,DDR3 SDRAM,PCI-E,1200 MHz
4,"MSI N210-MD1G/D3 GeForce 210 1GB GDDR3 - Tarjeta gráfica (GeForce 210, 1 GB, GDDR3, 64 bit, 2560 x 1600 Pixeles, PCI Express 2.0)","4,4 ","93,27€",1 GB,DDR3 SDRAM,PCI-E,1000 MHz
5,"ASUS GT1030-2G-BRK - Tarjeta gráfica (GeForce GT 1030, 2 GB, GDDR5, 64 bit, 7680 x 4320 Pixeles, PCI Express 3.0)","4,4 ","127,49€",2 GB,DDR5 SDRAM,PCI-E,1200 MHz
6,StarTech.com PEX1PLP - Adaptador Tarjeta PCIe Perfil bajo Paralelo de 1 Puerto,"4,4 ",-,-,-,-,-
7,Palit NEAT7300HD46H - Tarjeta gráfica (PCI-E GT730 2048 MB Passive 64bit DDR3 DVI/HDMI/VGA),"4,3 ","79,91€",2048 MB,DDR3 SDRAM,PCI-E,7010 MHz
8,"Gigabyte GV-N710D3-2GL REV2.0 - Tarjeta gráfica NVIDIA GeForce GT 710 954 MHz, 2048 MB, PCI Express","4,3 ","75,00€",512,MicroDIMM,PCI-Express x16,1600 MHz
9,"MSI - N730K-2GD3H/LPV1 - Tarjeta Gráfica Profesional NVIDIA, PCI-E 2.0, 64-bits, DL-DVI-D, HDMI, D-Sub","4,3 ","76,99€",2 GB,L2 cache,PCI-Express x16,902 MHz
